X,Y,Zona_Manejo,Ranking,Soybean yield (kg/ha),ECa (mS m),Clay (%),Silt (%),Sand (%),pH(water),SOM (%),P(mg/kg),K(mg/kg),Ca(cmolc/kg),Mg(cmolc/kg),SB(cmolc/kg),Al(cmolc/kg),H+Al(cmolc/kg),AS%,BS%,CTC(cmolc/kg),Tem_Zero_Al_AS,Outlier_Mahalanobis,Outlier_IsoForest,Score_PC1,Score_PC2,Score_PC3,Score_PC4,Cluster_KMeans,Cluster_Hierarquico
542255.405,6975645.842,Zona 1,12.711348501069358,3836.33,28.16,73,25,2,6.5,2.8,52,81.9,8.7,3.0,12.0,0.0,3.1,0,79,15.1,True,False,False,1.8176445895252848,-2.089846302096196,-3.1445140539170717,-0.024953450510690634,0,0
542203.802,6975625.858,Zona 1,115.32641554533922,3885.93,32.36,68,30,2,6.9,2.9,58,93.6,9.3,3.7,13.3,0.0,2.3,0,85,15.6,True,False,False,3.845011883087493,-1.2918464816723154,-3.4421025125385123,0.9310699094342499,0,0
542201.263,6975577.683,Zona 1,50.626604838101564,4019.8,18.48,73,24,3,6.3,3.4,61,198.9,9.3,2.6,12.5,0.0,3.7,0,77,16.1,True,False,False,1.6067452928485122,0.05788210533585642,-0.8066144753290193,-1.1514763933094005,0,0
542203.765,6975528.383,Zona 2,-83.38709116557526,4099.47,9.41,71,27,3,5.9,3.1,53,109.2,7.3,1.9,9.5,0.0,4.8,0,66,14.3,True,False,False,-0.9921724659073189,-2.16811037467994,-0.7382400271826306,-0.08824435003306591,1,1
542202.31,6975478.986,Zona 1,-32.98020622246354,3397.73,23.31,73,25,2,5.7,3.4,56,101.4,8.4,2.3,11.0,0.0,5.1,0,68,16.1,True,False,False,0.04682585346469468,-1.5782134500750051,-1.034585807464322,-0.025106809261860128,0,1
542203.508,6975424.373,Zona 2,-88.00909678776534,5295.2,17.73,86,12,3,5.8,3.5,57,195.0,7.9,2.2,10.7,0.0,4.9,0,68,15.6,True,False,False,-1.3329926466218658,-0.5564469679414603,0.5106691706334812,-3.356056893627161,1,1
542201.258,6975373.871,Zona 2,-55.246698208992974,3570.07,16.42,73,24,3,5.6,3.4,67,140.4,8.0,2.0,10.3,0.0,5.9,0,64,16.2,True,False,False,-0.8591315430657952,-0.7138831134334331,-0.0723478808701771,-0.8724968184909676,1,1
542154.056,6975397.072,Zona 2,-124.20895416153255,4027.2,12.93,76,22,3,5.4,3.3,55,97.5,7.2,1.8,9.3,0.04,7.3,0,56,16.6,True,False,False,-2.4755829376125,-1.3403452395520854,0.7507693251098685,-0.8068188317788816,1,1
542154.434,6975449.685,Zona 2,-174.3464259896816,4263.8,17.09,78,19,3,5.2,3.8,58,128.7,6.4,1.8,8.5,0.13,7.2,2,54,15.7,False,False,False,-4.0585612444851185,-0.4471195719987935,1.0972835803435455,-0.9439160469037406,1,1
542153.318,6975499.313,Zona 1,-7.400295342114617,4197.67,12.83,73,24,3,6.0,3.2,80,148.2,8.2,2.8,11.4,0.0,4.2,0,73,15.5,True,False,False,0.5065541016349844,-0.6283601970706741,-0.7952208010130345,-1.307048311638985,0,0
542150.512,6975546.509,Zona 1,130.12817129781263,3636.73,25.77,71,26,3,6.0,3.6,81,148.2,10.1,3.6,14.1,0.0,4.4,0,76,18.5,True,False,False,2.7408667480559585,1.4774857378439281,-0.27946149504709406,-0.5998869659059318,0,0
542151.779,6975598.898,Zona 1,188.4079658849739,3907.8,25.7,73,24,3,6.5,3.6,74,136.5,11.0,4.3,15.6,0.0,2.8,0,85,18.4,True,False,False,4.24185613771608,1.7449786759889634,-0.9610693033575199,-0.8551205762477623,0,0
542151.46,6975650.406,Zona 1,162.4397901945554,4413.93,21.27,71,26,3,6.4,3.2,80,210.6,10.2,4.1,14.8,0.0,3.4,0,82,18.2,True,False,False,3.710227989845622,1.4755562383554632,-0.6175772003464878,-1.1880384005422417,0,0
542104.659,6975675.378,Zona 1,263.59143495527724,4149.6,24.69,66,30,5,6.3,4.3,122,222.3,11.2,3.6,15.4,0.0,3.3,0,82,18.7,True,False,True,3.887798660095989,6.404489707749979,0.6529727240443611,-0.6818223253629501,0,0
542101.409,6975621.667,Zona 2,-31.880866274413986,3570.6,18.41,66,31,4,5.4,3.6,92,66.3,7.3,2.7,10.1,0.09,6.2,1,62,16.4,False,False,False,-1.2887609351615297,0.7732966717202227,0.38747342163262183,0.7377334627798642,1,1
542100.664,6975577.141,Zona 2,-56.098808840098485,3955.33,25.57,78,19,3,5.6,3.4,86,120.9,7.8,2.5,10.6,0.0,5.3,0,67,15.9,True,False,False,-0.6502650643565042,-0.3516129912744366,-0.7230038685947691,-1.9291157670150085,1,1
542099.703,6975527.409,Zona 2,-112.85112369884885,3929.91,14.94,76,22,3,5.5,3.2,69,81.9,6.8,2.4,9.5,0.04,5.4,0,64,14.8,True,False,False,-1.699959316966819,-1.6123360723490177,-0.7744726314411573,-1.0510935641412666,1,1
542101.498,6975473.902,Zona 1,48.077898308077216,3683.04,11.35,73,24,3,6.0,4.0,78,132.6,8.6,3.3,12.2,0.0,4.0,0,75,16.2,True,False,False,1.18343374245042,0.3949445035288062,0.007987602729559461,-0.9150688100195311,0,0
542101.228,6975423.615,Zona 1,183.99808405498027,3281.13,29.15,66,32,3,5.9,4.1,104,132.6,10.3,3.6,14.2,0.0,4.8,0,74,19.0,True,False,False,3.3693977921298246,2.293849794746408,0.28947841356156595,0.49201468207146154,0,0
542101.358,6975374.655,Zona 1,143.38739444242853,3322.93,45.45,76,21,4,6.4,3.8,68,237.9,9.5,3.5,13.7,0.0,2.9,0,82,16.5,True,False,False,3.2393229335587073,2.6467586825227682,-1.9017766871729749,-1.7989253136425305,0,0
542047.928,6975369.853,Zona 1,60.34550201124132,3995.13,32.15,71,27,3,5.8,3.4,58,132.6,9.1,2.8,12.3,0.0,5.2,0,70,17.5,True,False,False,1.3645452465039938,0.28288649056795956,-0.2977849504369118,0.19502347006476373,0,0
542052.476,6975427.547,Zona 2,-155.61978770433342,3533.47,21.0,76,22,3,5.6,3.2,42,54.6,6.1,2.0,8.2,0.0,6.0,0,58,14.2,True,False,False,-2.45817433673613,-2.465896868237487,-1.1847820406866583,-0.30413271595692865,1,1
542052.43,6975472.076,Zona 2,-92.4066158381027,3257.33,15.45,76,21,3,5.6,3.2,67,89.7,7.4,2.5,10.1,0.0,5.9,0,63,16.0,True,False,False,-1.3261187397219338,-1.1357327939030157,-0.8131423412015241,-1.321963258729741,1,1
542001.716,6975451.424,Zona 2,-394.8242020723671,3516.8,18.62,81,16,4,4.9,3.6,48,105.3,4.6,1.5,6.3,1.03,9.4,14,40,15.7,False,True,True,-11.647322763926311,6.532764237699218,-3.5962946957262205,3.0495557646271463,1,2
542000.842,6975398.148,Zona 2,-193.3969043056673,3973.4,17.45,78,19,3,5.4,3.2,35,93.6,6.1,2.1,8.5,0.09,5.9,1,59,14.3,False,False,False,-3.6112026728569173,-1.8883309167653977,-0.5980508864310166,-0.8008329036877285,1,1
542000.191,6975352.182,Zona 2,-150.5242237773823,3824.67,11.27,76,22,3,5.4,3.3,53,123.5,7.0,2.17,9.33,0.12,6.53,2,58,16.0,False,False,False,-3.207692536003715,-0.7409413759241645,0.20459389363054922,-0.7735852457952056,1,1
541956.458,6975377.586,Zona 2,-267.3988813357833,4314.2,9.95,78,19,3,5.1,3.2,66,144.3,5.3,1.6,7.2,0.27,8.5,4,46,15.7,False,False,True,-6.56592446142622,0.8573699713574386,0.13285824747157624,-0.8325413909820871,1,1
541952.964,6975426.224,Zona 2,-141.7168041490243,3759.6,15.4,78,19,3,5.4,3.4,95,191.1,6.8,2.1,9.4,0.09,7.5,1,56,16.9,False,False,False,-3.1233887094813086,0.3114157994074161,0.5751197025880616,-2.5186548434137377,1,1
