ID,X-coord,Y-coord,SMZ,outlier,Soybean yield (kg/ha),ECa (mS m),Clay (%),Silt (%),Sand (%),pH(water),SOM (%),P(mg/kg),K(mg/kg),Ca(cmolc/kg),Mg(cmolc/kg),SB(cmolc/kg),Al(cmolc/kg),H+Al(cmolc/kg),AS%,BS%,CTC(cmolc/kg)
33,542150.512,6975546.509,2,no,3636.73,25.77,71,26,3,6.0,3.6,81,148.2,10.1,3.6,14.1,0.0,4.4,0,76,18.5
34,542151.779,6975598.898,2,no,3907.8,25.7,73,24,3,6.5,3.6,74,136.5,11.0,4.3,15.6,0.0,2.8,0,85,18.4
35,542151.46,6975650.406,2,no,4413.93,21.27,71,26,3,6.4,3.2,80,210.6,10.2,4.1,14.8,0.0,3.4,0,82,18.2
36,542104.659,6975675.378,2,no,4149.6,24.69,66,30,5,6.3,4.3,122,222.3,11.2,3.6,15.4,0.0,3.3,0,82,18.7
37,542101.409,6975621.667,1,no,3570.6,18.41,66,31,4,5.4,3.6,92,66.3,7.3,2.7,10.1,0.09,6.2,1,62,16.4
38,542100.664,6975577.141,2,no,3955.33,25.57,78,19,3,5.6,3.4,86,120.9,7.8,2.5,10.6,0.0,5.3,0,67,15.9
39,542099.703,6975527.409,1,no,3929.91,14.94,76,22,3,5.5,3.2,69,81.9,6.8,2.4,9.5,0.04,5.4,0,64,14.8
40,542101.498,6975473.902,1,no,3683.04,11.35,73,24,3,6.0,4.0,78,132.6,8.6,3.3,12.2,0.0,4.0,0,75,16.2
41,542101.228,6975423.615,2,no,3281.13,29.15,66,32,3,5.9,4.1,104,132.6,10.3,3.6,14.2,0.0,4.8,0,74,19.0
42,542101.358,6975374.655,2,no,3322.93,45.45,76,21,4,6.4,3.8,68,237.9,9.5,3.5,13.7,0.0,2.9,0,82,16.5
43,542047.928,6975369.853,2,no,3995.13,32.15,71,27,3,5.8,3.4,58,132.6,9.1,2.8,12.3,0.0,5.2,0,70,17.5
44,542052.476,6975427.547,2,yes,3533.47,21.0,76,22,3,5.6,3.2,42,54.6,6.1,2.0,8.2,0.0,6.0,0,58,14.2
45,542052.43,6975472.076,1,no,3257.33,15.45,76,21,3,5.6,3.2,67,89.7,7.4,2.5,10.1,0.0,5.9,0,63,16.0
46,542001.716,6975451.424,1,no,3516.8,18.62,81,16,4,4.9,3.6,48,105.3,4.6,1.5,6.3,1.03,9.4,14,40,15.7
47,542000.842,6975398.148,1,no,3973.4,17.45,78,19,3,5.4,3.2,35,93.6,6.1,2.1,8.5,0.09,5.9,1,59,14.3
48,542000.191,6975352.182,1,no,3824.67,11.27,76,22,3,5.4,3.3,53,123.5,7.0,2.17,9.33,0.12,6.53,2,58,16.0
49,541956.458,6975377.586,1,no,4314.2,9.95,78,19,3,5.1,3.2,66,144.3,5.3,1.6,7.2,0.27,8.5,4,46,15.7
50,541952.964,6975426.224,1,no,3759.6,15.4,78,19,3,5.4,3.4,95,191.1,6.8,2.1,9.4,0.09,7.5,1,56,16.9
