Soybean yield (kg/ha);ECa (mS m);Clay (%);Silt (%);Sand (%);pH(water);SOM (%);P(mg/kg);K(mg/kg);Ca(cmolc/kg);Mg(cmolc/kg);SB(cmolc/kg);Al(cmolc/kg);H+Al(cmolc/kg);AS%;BS%;CTC(cmolc/kg);Tem_Zero_Al_AS;Outlier_Mahalanobis;Outlier_IsoForest;Score_PC1;Score_PC2;Score_PC3;Score_PC4;Ranking;Cluster_KMeans;Cluster_Hierarquico;Zona_Manejo;Produtividade_sc_ha;Produtividade_Prevista_sc_ha
4515,2;21,59;73;24;3;5,8;3,9;30;89,7;8,9;2,9;12,0;0,0;5,4;0;69;17,5;True;False;False;0,646156023962855;-0,10701865111483276;1,1758221086428509;0,6040795132534894;41,92749029254715;0;0;Zona 1;75,25333333333333;77,70086214301713
3141,33;22,57;71;27;3;6,1;4,0;38;261,3;9,0;3,4;13,1;0,0;3,9;0;77;17,0;True;False;False;2,4291482988368456;1,273886527376389;-0,1660082453628416;-0,35965499066208706;117,02238969306113;0;0;Zona 1;52,3555;69,31410211688116
4485,87;23,09;73;24;3;5,4;3,9;32;109,2;7,9;2,4;10,5;0,09;6,9;1;61;17,4;False;False;False;-1,7289365078127448;0,0777709225774677;1,7292247226643225;0,714199346520498;-48,368772561065086;1;1;Zona 2;74,7645;72,74424732827332
5056,47;18,93;76;22;3;5,6;3,6;33;62,4;9,4;2,7;12,2;0,0;5,5;0;69;17,7;True;False;False;0,15438212269537013;-0,5001400175746807;1,4027935117072572;0,07595351922473378;12,909328551352012;0;0;Zona 1;84,2745;80,79680123543099
5180,87;17,59;71;26;3;5,4;4,1;48;128,7;8,7;2,5;11,5;0,04;7,1;0;62;18,7;True;False;False;-0,19874129594211637;0,5312156666282372;3,1305733075267823;0,6730165208648675;36,081256886860864;0;0;Zona 1;86,34783333333333;86,72605224833272
3965,13;26,45;63;35;2;6,4;3,6;36;58,5;10,2;2,6;13,0;0,0;2,9;0;82;15,8;True;False;False;3,263306617563676;-1,4993889086803684;-1,3601789644694477;2,8567188747287546;124,23854280193564;0;0;Zona 1;66,0855;68,40110483994032
4347,4;24,09;66;32;3;6,5;3,6;34;117,0;8,6;2,4;11,3;0,0;3,4;0;77;14,8;True;False;False;1,9199306665725981;-1,0690503916568117;-0,9375423167717574;1,7556022412707297;69,47236258492292;0;0;Zona 1;72,45666666666666;67,60959523704588
4353,4;13,86;71;26;3;6,0;3,2;46;105,3;8,6;2,4;11,2;0,0;5,1;0;69;16,3;True;False;False;0,21144055620762633;-1,1433102941040463;-0,0570860672694451;0,1066119803975428;-8,675430339468942;0;1;Zona 1;72,55666666666666;72,67923753166932
4493,93;21,78;71;26;4;6,3;3,7;75;230,1;10,4;2,8;13,7;0,0;3,6;0;79;17,4;True;False;False;2,741717083367127;2,1258240474770185;0,4303285645642216;-1,157192991907542;142,4754824452512;0;0;Zona 1;74,89883333333334;72,85904486106594
4982,27;14,24;71;26;3;5,8;3,6;56;137,15;9,0;2,45;11,48;0,01;5,07;0;69;17,0;True;False;False;0,48333087529512314;-0,278474610233226;1,2474072561420615;0,015730120044569543;28,136946035981975;0;0;Zona 1;83,03783333333334;79,83995236018728
5031,6;21,0;68;29;3;6,0;3,8;70;191,1;8,1;2,5;11,0;0,0;4,3;0;72;15,4;True;False;False;1,1334988429250787;-0,08747448673919975;0,5637662145175437;0,2555311769162901;53,7526845689768;0;0;Zona 1;83,86;75,37331395872714
5136,13;22,57;66;32;3;6,3;3,1;41;167,7;8,6;2,4;11,5;0,0;3,3;0;78;14,8;True;False;False;1,8784678798422114;-1,2051526868246214;-0,7835237622849782;1,1375956467674078;61,86785086098597;0;0;Zona 1;85,60216666666666;70,70060108483422
3836,33;28,16;73;25;2;6,5;2,8;52;81,9;8,7;3,0;12,0;0,0;3,1;0;79;15,1;True;False;False;1,8176445895252848;-2,089846302096196;-3,1445140539170717;-0,024953450510690634;12,711348501069358;0;0;Zona 1;63,938833333333335;59,11916571620906
3885,93;32,36;68;30;2;6,9;2,9;58;93,6;9,3;3,7;13,3;0,0;2,3;0;85;15,6;True;False;False;3,845011883087493;-1,2918464816723154;-3,4421025125385123;0,9310699094342499;115,32641554533922;0;0;Zona 1;64,7655;57,864201723410446
4019,8;18,48;73;24;3;6,3;3,4;61;198,9;9,3;2,6;12,5;0,0;3,7;0;77;16,1;True;False;False;1,6067452928485122;0,05788210533585642;-0,8066144753290193;-1,1514763933094005;50,626604838101564;0;0;Zona 1;66,99666666666667;69,0260912060966
4099,47;9,41;71;27;3;5,9;3,1;53;109,2;7,3;1,9;9,5;0,0;4,8;0;66;14,3;True;False;False;-0,9921724659073189;-2,16811037467994;-0,7382400271826306;-0,08824435003306591;-83,38709116557526;1;1;Zona 2;68,3245;68,52406724694018
3397,73;23,31;73;25;2;5,7;3,4;56;101,4;8,4;2,3;11,0;0,0;5,1;0;68;16,1;True;False;False;0,04682585346469468;-1,5782134500750051;-1,034585807464322;-0,025106809261860128;-32,98020622246354;0;1;Zona 1;56,62883333333333;66,921883702387
5295,2;17,73;86;12;3;5,8;3,5;57;195,0;7,9;2,2;10,7;0,0;4,9;0;68;15,6;True;False;False;-1,3329926466218658;-0,5564469679414603;0,5106691706334812;-3,356056893627161;-88,00909678776534;1;1;Zona 2;88,25333333333333;77,02329010852615
3570,07;16,42;73;24;3;5,6;3,4;67;140,4;8,0;2,0;10,3;0,0;5,9;0;64;16,2;True;False;False;-0,8591315430657952;-0,7138831134334331;-0,0723478808701771;-0,8724968184909676;-55,246698208992974;1;1;Zona 2;59,50116666666667;69,17864793937642
4027,2;12,93;76;22;3;5,4;3,3;55;97,5;7,2;1,8;9,3;0,04;7,3;0;56;16,6;True;False;False;-2,4755829376125;-1,3403452395520854;0,7507693251098685;-0,8068188317788816;-124,20895416153255;1;1;Zona 2;67,11999999999999;72,7298747905229
4263,8;17,09;78;19;3;5,2;3,8;58;128,7;6,4;1,8;8,5;0,13;7,2;2;54;15,7;False;False;False;-4,0585612444851185;-0,4471195719987935;1,0972835803435455;-0,9439160469037406;-174,3464259896816;1;1;Zona 2;71,06333333333333;66,1822125583875
4197,67;12,83;73;24;3;6,0;3,2;80;148,2;8,2;2,8;11,4;0,0;4,2;0;73;15,5;True;False;False;0,5065541016349844;-0,6283601970706741;-0,7952208010130345;-1,307048311638985;-7,400295342114617;0;0;Zona 1;69,96116666666667;68,88858257706272
3636,73;25,77;71;26;3;6,0;3,6;81;148,2;10,1;3,6;14,1;0,0;4,4;0;76;18,5;True;False;False;2,7408667480559585;1,4774857378439281;-0,27946149504709406;-0,5998869659059318;130,12817129781263;0;0;Zona 1;60,61216666666667;69,11785878017913
3907,8;25,7;73;24;3;6,5;3,6;74;136,5;11,0;4,3;15,6;0,0;2,8;0;85;18,4;True;False;False;4,24185613771608;1,7449786759889634;-0,9610693033575199;-0,8551205762477623;188,4079658849739;0;0;Zona 1;65,13000000000001;68,35343766351778
4413,93;21,27;71;26;3;6,4;3,2;80;210,6;10,2;4,1;14,8;0,0;3,4;0;82;18,2;True;False;False;3,710227989845622;1,4755562383554632;-0,6175772003464878;-1,1880384005422417;162,4397901945554;0;0;Zona 1;73,5655;71,18822441072034
